jobid,level,tech_specialisation,country,state,salary_from,salary_to,currency,type,mode,visa_sponsorship,work_experience_years,education_level,cert_id,certification_text,is_mandatory
3702,Middle,Data Analytics,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
3717,Middle,Microservices,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
3718,Middle,React JS,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
3725,Middle,Java,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
3738,Middle,Android,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
3763,Senior,Cybersecurity,Singapore,,,,,Full time,,,,Bachelor Degree,,,
3770,Middle,Embedded Systems,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
3774,Senior,PHP,Singapore,,4000,5500,SGD,Full time,,,5,Bachelor Degree,,,
3776,Senior,ReactJS,Singapore,,4000,5500,SGD,Full time,,,5,Bachelor Degree,,,
3785,Middle,Temenos Triple'A,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
3802,Middle,Storage,Singapore,,,,,Full time,,,3,Bachelor Degree,1746,Microsoft (except Azure),0
3802,Middle,Storage,Singapore,,,,,Full time,,,3,Bachelor Degree,1747,NetApp Certified Data Administrator (NCDA),0
3807,Middle,System Administration,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
3819,,Information Security,Singapore,,,,,Full time,,,2,Bachelor Degree,1750,ISACA (CISA/CISM/CRISC),0
3819,,Information Security,Singapore,,,,,Full time,,,2,Bachelor Degree,1751,ISACA (CISA/CISM/CRISC),0
3819,,Information Security,Singapore,,,,,Full time,,,2,Bachelor Degree,1752,ISC2 (CISSP/CCSP/SSCP),0
3819,,Information Security,Singapore,,,,,Full time,,,2,Bachelor Degree,1753,PMP,0
3820,Middle,SharePoint,Singapore,,,,,Full time,,,6,Bachelor Degree,1754,AWS,0
3820,Middle,SharePoint,Singapore,,,,,Full time,,,6,Bachelor Degree,1755,DevOps Engineer,0
3832,Middle,Business Intelligence,Singapore,,,,,Full time,,,,Bachelor Degree,,,
3855,Senior,Core Banking,Singapore,,,,,Full time,,,7,Bachelor Degree,1788,PMP,0
3881,Middle,Solution Architecture,Singapore,,,,,Full time,,,8,Bachelor Degree,,,
3960,Middle,Data Platform,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
3969,Senior,Finance,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
3980,Lead,DataHub,Singapore,,,,,Part time,,,10,Bachelor Degree,,,
4007,Middle,Cloud,Singapore,,,,SGD,Full time,,,,Bachelor Degree,,,
4042,Senior,IT Project Management,Singapore,,6000,8000,SGD,Full time,,,,Bachelor Degree,1827,PMP,1
4072,Middle,Semiconductor Device Technology,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
4085,Senior,Data Engineering,Singapore,,7000,13000,SGD,Full time,,,5,Bachelor Degree,,,
4146,,Raman Spectroscopy and Imaging,Singapore,,,,,Full time,,,,Bachelor Degree,,,
4154,Senior,IT Project Management,Singapore,,9000,11000,SGD,Contract/Temp,,,8,Bachelor Degree,,,
4169,Middle,Cyber Security,Singapore,,,,,Full time,,,,Bachelor Degree,,,
4186,Middle,Networks,Singapore,,6000,8000,SGD,Full time,,,5,Bachelor Degree,1887,Cisco (CCNA/CCNP/CCIE),0
4186,Middle,Networks,Singapore,,6000,8000,SGD,Full time,,,5,Bachelor Degree,1888,Microsoft (except Azure),0
4188,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,1889,CITPM,0
4188,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,1890,ITIL,0
4188,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,1891,ISC2 (CISSP/CCSP/SSCP),0
4188,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,1892,ISACA (CISA/CISM/CRISC),0
